1,2,3,4,5,6,7,8,9,10
-56.79729919,-54.74677734,-57.28979797,-55.91736221,-55.33039169,-56.89935913,-56.05829086,-56.88789825,-55.42706833,-55.76525269
-57.11786957,-56.78370438,-57.12629318,-56.17098465,-56.6754364,-57.06225128,-56.91524506,-57.10381088,-56.28855286,-56.56506271
-56.66179504,-57.40595245,-57.23301163,-55.2510704,-55.87929459,-56.56895294,-57.00909958,-57.23005142,-55.23349762,-55.36665039
-56.42809525,-56.57985916,-57.97608566,-56.46109543,-56.92911453,-56.56265106,-56.72608643,-58.03593369,-56.41020584,-57.09261169
-56.73031464,-56.67104111,-57.41443558,-55.61439819,-56.03075714,-56.80963287,-56.54766541,-57.21967926,-55.74154587,-56.09508896
-56.04422913,-55.90765686,-57.6453949,-55.73024292,-56.19803085,-56.12175598,-56.27584457,-57.67057419,-55.25007248,-56.58327789
-56.55509033,-57.1162529,-56.99182816,-56.25426788,-55.58722534,-56.57884369,-57.40714951,-57.08801422,-55.99227295,-55.97525787
-56.52239075,-56.48318558,-56.85529022,-56.13845825,-56.28987274,-56.53385391,-56.01673203,-56.82473831,-55.35920639,-55.71893768
-56.52303085,-56.51051407,-57.95867996,-55.91425018,-55.99801483,-56.34496918,-55.71746445,-57.90047226,-55.31535721,-55.55258713
-56.56053162,-56.23022385,-57.58006744,-55.96348038,-54.50208054,-56.53700638,-55.35832901,-57.55085526,-55.10926056,-54.56896286
-55.79046707,-55.76245193,-56.90442429,-55.84667358,-57.06201477,-55.44172516,-55.1149765,-57.04456024,-55.79516983,-56.83930054
-55.42646103,-56.51695938,-56.60279312,-54.81353836,-56.83006439,-55.67407761,-57.04028015,-55.70044785,-54.97686691,-56.54620438
-55.92529373,-56.52511139,-56.11440048,-55.56530609,-55.69077911,-56.24584045,-56.1150795,-55.73079147,-55.46258698,-55.84701309
-54.64244461,-55.57931519,-56.95185471,-56.74541245,-56.08764191,-55.29876862,-55.63852844,-57.42004471,-56.33067093,-56.06385651
-55.80826569,-56.50946808,-56.53940735,-55.41427002,-56.26208725,-55.43931122,-56.23737869,-56.71881866,-54.54986725,-56.63794403
-54.95955353,-56.8470047,-56.71641541,-56.45954895,-57.1781311,-54.68237381,-56.48302536,-56.76881485,-56.32708054,-56.33925018
-55.61435471,-57.13998184,-58.33537064,-54.94871674,-56.39497833,-55.94927521,-56.4223671,-58.03569489,-55.35448837,-56.20293121
-53.86293182,-55.41134567,-58.41958847,-54.66436462,-56.01915665,-54.68781052,-55.22395782,-57.45000992,-54.69829025,-55.54489899
-55.3550293,-56.32607117,-58.15930557,-55.88253784,-56.35419769,-54.9618927,-56.45037384,-57.46459732,-56.29394913,-56.48277664
-56.82696304,-56.75016708,-56.63748932,-55.21616669,-57.27351074,-56.6355484,-57.06349106,-56.73835068,-55.27174225,-56.61159134
-53.81997986,-55.32519073,-53.94494247,-56.66762314,-54.52114868,-56.02514496,-54.47470779,-53.12206039,-51.12204056,-54.33820801
-56.48197098,-56.48536148,-57.08837509,-56.80933533,-56.72218018,-56.15545883,-55.7602211,-54.44220047,-57.47882233,-57.40481186
-56.99041901,-56.17627487,-57.34506073,-56.1719696,-56.63849945,-56.55267487,-55.75293732,-55.07465439,-56.65678329,-57.70573578
-57.0065773,-57.3140419,-57.28208313,-56.48943481,-57.29076843,-57.60794754,-55.57014999,-56.86838989,-57.01350861,-57.70970001
-56.5836853,-56.95687866,-55.85285187,-56.72057648,-56.69455032,-57.01727448,-55.79889374,-55.9638588,-57.05576401,-56.32562256
-56.21296158,-56.55182266,-57.8457222,-56.47276993,-55.89138336,-57.16350784,-55.80123596,-55.47962494,-55.58242874,-55.37620926
-56.09235687,-56.18942261,-56.94896622,-57.74554367,-55.43679657,-56.91040344,-53.68944855,-55.69173431,-55.60923309,-56.53221664
-57.41015396,-56.2450325,-55.74931107,-56.87674637,-56.39224014,-57.17690125,-56.09720917,-55.37756882,-56.02413254,-56.6481041
-56.35412216,-56.39566193,-57.7248642,-56.33125305,-56.22292252,-56.27792816,-56.28192368,-55.52991638,-55.51299744,-55.42285843
-56.2280571,-57.4181778,-57.75674591,-56.17386475,-56.57400742,-57.12249069,-56.03169327,-56.7218605,-56.79061279,-55.56557007
-56.57433701,-55.92257385,-55.14512405,-55.69460831,-56.03613205,-56.4197197,-55.10370865,-54.82950211,-55.86280365,-55.25758209
-56.72711563,-54.23511505,-58.31851654,-54.97063675,-54.68650665,-56.36290817,-55.54685135,-57.61282883,-55.8236969,-54.89926605
-56.22818832,-54.59790726,-55.4350235,-55.58151321,-56.78592834,-56.38463593,-57.2129425,-54.40756836,-55.4931076,-55.42166672
-56.27077255,-55.34817734,-56.95813446,-54.28020706,-56.2561203,-56.28456268,-54.87522888,-56.96210785,-53.71873856,-56.30224991
-57.8892746,-57.32756119,-54.95154724,-54.16538086,-55.13554077,-57.90744705,-58.11319351,-55.37486954,-55.54495773,-54.41801834
-56.73475876,-54.77560043,-55.40315399,-55.54346771,-54.29649277,-56.58257141,-54.37520676,-55.52519302,-55.92615051,-54.77679214
-56.95730286,-55.46885223,-57.77208405,-53.43357849,-55.67512741,-57.07451477,-54.64157486,-54.22868805,-52.88543625,-55.54863358
-55.72622528,-56.33774185,-55.35257874,-53.18329239,-54.54208984,-56.03038406,-56.68439407,-55.14026031,-53.04267807,-55.10723801
-56.00800552,-55.94939499,-54.9083931,-54.36048737,-55.96254196,-54.55607224,-54.88845444,-53.04140625,-53.65971451,-55.11872406
-55.67752914,-56.43888397,-53.26012268,-54.12136459,-55.54672775,-56.1248642,-55.77395248,-53.3836174,-55.33809891,-54.95730515
