1,2,3,4,5,6,7,8,9,10
-54.05425491,-54.49015656,-55.83980713,-55.91720505,-53.62023163,-54.22003708,-55.64412918,-57.36444168,-53.76248627,-54.74588776
-56.29544754,-56.77756195,-57.64470825,-56.17107544,-56.6556221,-56.51785507,-56.76553497,-57.57488403,-56.04563522,-56.55990219
-55.83069382,-56.88092957,-57.02200928,-56.35532227,-56.80404053,-55.63983994,-56.84032516,-55.20713348,-56.35597992,-56.75001907
-56.64815979,-57.08652878,-56.7292511,-56.69803543,-56.70887604,-56.61551361,-57.22005463,-56.87549973,-56.56817703,-57.00867081
-57.43328705,-56.46082916,-58.36779175,-56.37005463,-55.86516266,-57.40263062,-56.21179276,-58.38336563,-56.24186096,-56.1555603
-56.60666504,-57.86885147,-57.04970551,-55.86363525,-55.89329147,-56.86564178,-57.56591339,-56.02803192,-55.46151352,-55.51962128
-56.36198883,-55.82385025,-57.53507843,-55.554879,-56.56778793,-56.39271011,-56.13747711,-57.27602615,-55.94451904,-56.70004196
-55.6839798,-57.15866318,-55.68135147,-56.18689575,-56.35576477,-55.76426239,-57.02620621,-55.95634842,-56.06817932,-56.70004349
-56.21193695,-55.57315445,-55.94056931,-55.93605423,-56.53642044,-56.20161133,-55.44707947,-56.70716476,-56.06728668,-56.51861649
-56.15103531,-58.24377289,-56.41965942,-56.36807098,-56.07653656,-55.18553619,-56.48187408,-57.02000198,-56.20104599,-56.26641006
-56.3789566,-54.74026794,-55.44651108,-55.93872528,-56.25201187,-56.54057465,-55.90029373,-55.3956604,-55.78465576,-56.45931091
-56.79238052,-53.53744278,-58.33935013,-55.05695496,-55.11346817,-56.69712524,-55.1866806,-57.68037643,-55.16858826,-55.34229507
-55.02396393,-55.83482742,-57.01371613,-53.39465179,-56.98153534,-56.42888794,-55.36374359,-56.78006973,-54.94002457,-56.73530273
-56.18425827,-56.77715836,-57.10582352,-55.1769722,-56.15827179,-56.11963425,-57.28014908,-57.14160767,-54.6026268,-56.07200089
-57.73881226,-56.83166809,-55.65049133,-54.55447464,-55.44380341,-57.7961586,-56.78048248,-56.92446594,-54.14607544,-55.21106796
-56.53599243,-54.7690979,-56.93169174,-54.80877228,-55.58513336,-56.63286667,-54.49342194,-56.98721237,-55.66594391,-55.95615692
-56.82907104,-55.28754654,-56.12820358,-54.24897537,-56.44178619,-57.02293015,-53.54624863,-56.11457291,-55.07903061,-56.43492126
-55.95791931,-55.30540466,-54.15333862,-55.7026329,-54.88409805,-55.87408905,-54.96732635,-54.26787796,-54.59671783,-56.15379486
-54.56696701,-54.58297806,-53.99011993,-56.2904274,-55.67077408,-55.80932388,-54.78366776,-53.76363297,-54.65279617,-56.02576065
-54.65170135,-55.84772339,-55.72521591,-54.20399551,-56.06967468,-55.95465546,-55.32410583,-53.51628723,-52.73384781,-56.23272781
