1,2,3,4,5,6,7,8,9,10
-54.5592247,-56.20330048,-55.9502533,-55.44638138,-54.30552902,-54.22003708,-55.64412918,-57.36444168,-53.76248627,-54.74588776
-56.68619919,-56.58528442,-57.55684586,-55.98755341,-56.54857635,-56.51785507,-56.76553497,-57.57488403,-56.04563522,-56.55990219
-55.67599716,-56.44304276,-57.12798386,-56.44635391,-56.70195618,-55.63983994,-56.84032516,-55.20713348,-56.35597992,-56.75001907
-56.87455215,-56.34729691,-56.6685463,-56.63471375,-56.81329727,-56.61551361,-57.22005463,-56.87549973,-56.56817703,-57.00867081
-57.35597153,-56.68957443,-57.78989944,-56.34754181,-56.44433289,-57.40263062,-56.21179276,-58.38336563,-56.24186096,-56.1555603
-56.70014038,-56.25531464,-56.939077,-55.71448288,-55.89670715,-56.86564178,-57.56591339,-56.02803192,-55.46151352,-55.51962128
-56.40344772,-56.15833511,-57.49597244,-55.9943634,-56.42416916,-56.39271011,-56.13747711,-57.27602615,-55.94451904,-56.70004196
-55.74629059,-57.16241531,-56.23586273,-56.35990524,-56.70274277,-55.76426239,-57.02620621,-55.95634842,-56.06817932,-56.70004349
-55.79500122,-56.45469971,-55.31025085,-56.09785309,-56.69944153,-56.20161133,-55.44707947,-56.70716476,-56.06728668,-56.51861649
-54.94137878,-58.20907669,-55.63521271,-56.37347565,-56.17255096,-55.18553619,-56.48187408,-57.02000198,-56.20104599,-56.26641006
-56.49441299,-56.33836288,-55.22208481,-55.97493134,-56.62418365,-56.54057465,-55.90029373,-55.3956604,-55.78465576,-56.45931091
-56.79071884,-53.71545334,-58.28347549,-55.81900787,-56.28910446,-56.69712524,-55.1866806,-57.68037643,-55.16858826,-55.34229507
-56.31861572,-55.22854691,-55.33401108,-56.41728973,-56.19824371,-56.42888794,-55.36374359,-56.78006973,-54.94002457,-56.73530273
-56.19795914,-57.03695831,-57.15396347,-54.46771851,-56.33514633,-56.11963425,-57.28014908,-57.14160767,-54.6026268,-56.07200089
-57.7053772,-57.30852814,-56.88543854,-55.98887329,-55.2758606,-57.7961586,-56.78048248,-56.92446594,-54.14607544,-55.21106796
-56.46308975,-55.19474792,-55.55392075,-55.60697327,-54.49710464,-56.63286667,-54.49342194,-56.98721237,-55.66594391,-55.95615692
-57.05079117,-54.89861603,-57.80653992,-54.61907959,-56.06288452,-57.02293015,-53.54624863,-56.11457291,-55.07903061,-56.43492126
-55.97547913,-55.8953064,-54.08283081,-55.43969727,-54.22316513,-55.87408905,-54.96732635,-54.26787796,-54.59671783,-56.15379486
-55.98541718,-55.05591736,-53.24405594,-54.03557053,-56.65562897,-55.80932388,-54.78366776,-53.76363297,-54.65279617,-56.02576065
-54.595784,-55.00964584,-55.04326324,-55.39552612,-56.25696411,-55.95465546,-55.32410583,-53.51628723,-52.73384781,-56.23272781
