r1,r2,r3,r4,r5,f1,f2,f3,f4,f5
-74.9014027,-55.995821,-90.59295955,-134.152654,-387.933782,23.59334774,-178.8575012,-152.3145751,-10.65152689,-79.37891576
-41.85951578,13.8869355,-2.145676962,-55.12744974,-87.06148721,-39.04416617,58.82602527,18.64634414,28.06427457,41.18371499
41.718016,68.7494208,59.59349856,70.73849514,44.9179524,41.126976,112.3062172,72.27943048,82.43811725,80.04858859
157.6180409,153.291139,177.7845394,160.9722354,152.2231731,146.2965187,140.775083,159.7966123,119.9351777,122.3129633
-128.624645,-116.36021,-154.3349911,-131.9579069,-106.3219609,-168.6594343,-160.2741752,-151.8905624,-60.41530885,-89.98324576
-60.41530885,-2.5257179,7.664343831,0.385905776,-41.97199154,-50.11568229,13.49966721,34.30414832,89.10722395,71.53714687
89.10722395,166.104304,172.6901322,102.8681334,121.66247,27.59062328,98.91393866,41.71071787,185.4626385,70.19415939
185.4626385,179.932609,183.2607624,141.372502,168.1827133,184.1526601,130.3305814,132.0465856,150.0223733,151.1112803
-163.0771471,-151.0068942,-115.3151693,-161.4862677,-157.3478228,-153.9593981,-108.063622,-165.3023139,-96.94452574,-159.4511264
-21.48439085,-17.39673284,1.198955408,57.39297756,-1.487919283,29.65043913,36.93616734,-20.49234246,-66.28983673,17.91480594
152.4714829,104.6486674,148.5332801,142.9224143,143.263889,178.1408381,107.4918962,163.1687068,83.62146174,121.261725
173.2693957,157.1824542,217.3437232,162.8092678,144.333681,185.900297,169.0503016,173.6527837,128.0134794,169.6828852
-106.3926633,-105.39275,-125.5868618,-122.9203461,-127.5143059,-117.982667,-113.3794034,-149.7233218,-94.69068836,-123.8936712
125.7638157,39.9701041,-29.08895376,53.15010273,-2.192984347,55.89290324,87.87498663,83.46233011,9.503971405,4.925430019
199.9133475,179.185567,120.0494552,174.681962,159.6875744,179.8293201,165.3528083,143.8223504,146.259643,162.1783816
223.6170807,192.890337,190.870817,179.8692193,200.7963608,196.1914177,181.0625381,169.1896694,189.9041265,188.26941
