r1,r2,r3,r4,r5,f1,f2,f3,f4,f5
225.75,284.75,274.25,310,204.75,236.75,236.25,249.5,151.75,248.5
308.5,271.5,307,278.5,234,258.75,207.5,292.5,154.75,217
352.25,312.5,324,207.5,288.75,233.75,243.75,259.5,245.25,216.75
302.25,298.5,374.25,495.5,273.25,274.5,417.75,378,243.75,307.5
324,73,274.75,282.75,195.75,278.25,102.5,323.5,208.5,256.25
176.75,298.25,240.5,310.75,259.75,238.75,224.5,286.5,201.25,256
177.25,156.75,322.5,288.5,314.5,228.75,220.75,205.75,283.5,277.25
329.5,313.5,346,299.5,305.5,420.25,281.25,246.5,316.75,270.25
163,353.5,333,97.25,276.75,87.75,272.25,293.75,301.5,157
419.5,146.5,228.5,195.25,348.5,391.25,261.5,175.25,264.75,197.75
168.5,221.5,222.25,50,384.5,498,241.25,150.25,211.5,244.25
426.5,347.25,276.5,308.5,434.35,341,265.5,311.75,283,285.75
345.5,300.25,275.5,268.75,277,213.5,314,254.75,320.75,330.5
236,376.5,396.25,321,380.5,367.5,296.5,294.75,322.5,242
361.5,532.25,425.75,510.25,534,366.75,271.75,354.5,315.5,353.75
540.75,482.75,580.75,561,559.5,589.25,374.25,345.75,567,444.25
